Construct_Name,Description,Source,Metadata_Value
Self-concept,Academic construct from OpenAlex literature.,OpenAlex,5
Balanced scorecard,Academic construct from OpenAlex literature.,OpenAlex,5
Gender diversity,Academic construct from OpenAlex literature.,OpenAlex,5
Affordance,Academic construct from OpenAlex literature.,OpenAlex,5
Closeness,Academic construct from OpenAlex literature.,OpenAlex,5
Compressive strength,Academic construct from OpenAlex literature.,OpenAlex,5
Nonverbal communication,Academic construct from OpenAlex literature.,OpenAlex,5
Culturally sensitive,Academic construct from OpenAlex literature.,OpenAlex,5
Open innovation,Academic construct from OpenAlex literature.,OpenAlex,5
Sexual behavior,Academic construct from OpenAlex literature.,OpenAlex,5
Solidarity,Academic construct from OpenAlex literature.,OpenAlex,5
Capability approach,Academic construct from OpenAlex literature.,OpenAlex,5
Longitudinal field,Academic construct from OpenAlex literature.,OpenAlex,5
Relocation,Academic construct from OpenAlex literature.,OpenAlex,5
Warrant,Academic construct from OpenAlex literature.,OpenAlex,5
Information security,Academic construct from OpenAlex literature.,OpenAlex,5
Prospect theory,Academic construct from OpenAlex literature.,OpenAlex,5
Obesity,Academic construct from OpenAlex literature.,OpenAlex,5
Subjectivity,Academic construct from OpenAlex literature.,OpenAlex,5
Probabilistic logic,Academic construct from OpenAlex literature.,OpenAlex,5
Information ethics,Academic construct from OpenAlex literature.,OpenAlex,5
Civil servant,Academic construct from OpenAlex literature.,OpenAlex,5
Covert,Academic construct from OpenAlex literature.,OpenAlex,5
Leader development,Academic construct from OpenAlex literature.,OpenAlex,5
Work hours,Academic construct from OpenAlex literature.,OpenAlex,5
Collective identity,Academic construct from OpenAlex literature.,OpenAlex,5
Partial least squares regression,Academic construct from OpenAlex literature.,OpenAlex,5
Charismatic authority,Academic construct from OpenAlex literature.,OpenAlex,5
Adult development,Academic construct from OpenAlex literature.,OpenAlex,5
Intervening variable,Academic construct from OpenAlex literature.,OpenAlex,5
Distancing,Academic construct from OpenAlex literature.,OpenAlex,5
Offensive,Academic construct from OpenAlex literature.,OpenAlex,5
Office workers,Academic construct from OpenAlex literature.,OpenAlex,5
Outsourcing,Academic construct from OpenAlex literature.,OpenAlex,5
Ingroups and outgroups,Academic construct from OpenAlex literature.,OpenAlex,5
Emotion work,Academic construct from OpenAlex literature.,OpenAlex,5
Executive committee,Academic construct from OpenAlex literature.,OpenAlex,5
New Ventures,Academic construct from OpenAlex literature.,OpenAlex,5
Predictive analytics,Academic construct from OpenAlex literature.,OpenAlex,5
Illusion,Academic construct from OpenAlex literature.,OpenAlex,5
Elite athletes,Academic construct from OpenAlex literature.,OpenAlex,5
Psychological abuse,Academic construct from OpenAlex literature.,OpenAlex,5
Cognitive architecture,Academic construct from OpenAlex literature.,OpenAlex,5
Profitability index,Academic construct from OpenAlex literature.,OpenAlex,5
Macro level,Academic construct from OpenAlex literature.,OpenAlex,5
Post hoc,Academic construct from OpenAlex literature.,OpenAlex,5
Notice,Academic construct from OpenAlex literature.,OpenAlex,5
Peer group,Academic construct from OpenAlex literature.,OpenAlex,5
Team leader,Academic construct from OpenAlex literature.,OpenAlex,5
Employee benefits,Academic construct from OpenAlex literature.,OpenAlex,5
Hacker,Academic construct from OpenAlex literature.,OpenAlex,5
Transgender,Academic construct from OpenAlex literature.,OpenAlex,5
Construction industry,Academic construct from OpenAlex literature.,OpenAlex,5
Regression,Academic construct from OpenAlex literature.,OpenAlex,5
Clothing,Academic construct from OpenAlex literature.,OpenAlex,5
Time management,Academic construct from OpenAlex literature.,OpenAlex,5
Psyche,Academic construct from OpenAlex literature.,OpenAlex,5
Management training,Academic construct from OpenAlex literature.,OpenAlex,5
Mental toughness,Academic construct from OpenAlex literature.,OpenAlex,5
Family-friendly,Academic construct from OpenAlex literature.,OpenAlex,5
Discretion,Academic construct from OpenAlex literature.,OpenAlex,5
Biography,Academic construct from OpenAlex literature.,OpenAlex,5
Management process,Academic construct from OpenAlex literature.,OpenAlex,5
Aviation accident,Academic construct from OpenAlex literature.,OpenAlex,5
Triad (sociology),Academic construct from OpenAlex literature.,OpenAlex,5
Information management,Academic construct from OpenAlex literature.,OpenAlex,5
Boredom,Academic construct from OpenAlex literature.,OpenAlex,5
Management theory,Academic construct from OpenAlex literature.,OpenAlex,5
Cultural identity,Academic construct from OpenAlex literature.,OpenAlex,5
Attendance,Academic construct from OpenAlex literature.,OpenAlex,5
Counterintuitive,Academic construct from OpenAlex literature.,OpenAlex,5
Socially distributed cognition,Academic construct from OpenAlex literature.,OpenAlex,5
Sustainability organizations,Academic construct from OpenAlex literature.,OpenAlex,5
Road transport,Academic construct from OpenAlex literature.,OpenAlex,5
Volunteer work,Academic construct from OpenAlex literature.,OpenAlex,5
Sociocultural evolution,Academic construct from OpenAlex literature.,OpenAlex,5
Experience sampling method,Academic construct from OpenAlex literature.,OpenAlex,5
LISREL,Academic construct from OpenAlex literature.,OpenAlex,5
Delphi method,Academic construct from OpenAlex literature.,OpenAlex,5
Social information processing,Academic construct from OpenAlex literature.,OpenAlex,5
Belongingness,Academic construct from OpenAlex literature.,OpenAlex,5
Evening,Academic construct from OpenAlex literature.,OpenAlex,5
New product development,Academic construct from OpenAlex literature.,OpenAlex,5
Cognitive test,Academic construct from OpenAlex literature.,OpenAlex,5
Socio-cognitive,Academic construct from OpenAlex literature.,OpenAlex,5
Through-the-lens metering,Academic construct from OpenAlex literature.,OpenAlex,5
Business communication,Academic construct from OpenAlex literature.,OpenAlex,5
Debiasing,Academic construct from OpenAlex literature.,OpenAlex,5
Theory of reasoned action,Academic construct from OpenAlex literature.,OpenAlex,5
Cognitive interview,Academic construct from OpenAlex literature.,OpenAlex,5
Impression,Academic construct from OpenAlex literature.,OpenAlex,5
Compensation of employees,Academic construct from OpenAlex literature.,OpenAlex,5
Learned helplessness,Academic construct from OpenAlex literature.,OpenAlex,5
Customer orientation,Academic construct from OpenAlex literature.,OpenAlex,5
Social policy,Academic construct from OpenAlex literature.,OpenAlex,5
Purchasing,Academic construct from OpenAlex literature.,OpenAlex,5
Glossary,Academic construct from OpenAlex literature.,OpenAlex,5
SWORD,Academic construct from OpenAlex literature.,OpenAlex,5
Self-compassion,Academic construct from OpenAlex literature.,OpenAlex,5
Unexpected events,Academic construct from OpenAlex literature.,OpenAlex,5
Postmodernism,Academic construct from OpenAlex literature.,OpenAlex,5
Psychic,Academic construct from OpenAlex literature.,OpenAlex,5
Outbreak,Academic construct from OpenAlex literature.,OpenAlex,5
Age discrimination,Academic construct from OpenAlex literature.,OpenAlex,5
Plea,Academic construct from OpenAlex literature.,OpenAlex,5
Interpretability,Academic construct from OpenAlex literature.,OpenAlex,5
Normative social influence,Academic construct from OpenAlex literature.,OpenAlex,5
Just-world hypothesis,Academic construct from OpenAlex literature.,OpenAlex,5
Stepwise regression,Academic construct from OpenAlex literature.,OpenAlex,4
Epidemiology,Academic construct from OpenAlex literature.,OpenAlex,4
Mental stress,Academic construct from OpenAlex literature.,OpenAlex,4
Uncertainty avoidance,Academic construct from OpenAlex literature.,OpenAlex,4
Negativity effect,Academic construct from OpenAlex literature.,OpenAlex,4
Nature versus nurture,Academic construct from OpenAlex literature.,OpenAlex,4
Team building,Academic construct from OpenAlex literature.,OpenAlex,4
Scrum,Academic construct from OpenAlex literature.,OpenAlex,4
Nationality,Academic construct from OpenAlex literature.,OpenAlex,4
Soviet union,Academic construct from OpenAlex literature.,OpenAlex,4
Need for cognition,Academic construct from OpenAlex literature.,OpenAlex,4
Big business,Academic construct from OpenAlex literature.,OpenAlex,4
Addiction,Academic construct from OpenAlex literature.,OpenAlex,4
Prioritization,Academic construct from OpenAlex literature.,OpenAlex,4
Group decision-making,Academic construct from OpenAlex literature.,OpenAlex,4
Civility,Academic construct from OpenAlex literature.,OpenAlex,4
Quality audit,Academic construct from OpenAlex literature.,OpenAlex,4
Career planning,Academic construct from OpenAlex literature.,OpenAlex,4
Accident investigation,Academic construct from OpenAlex literature.,OpenAlex,4
Informed consent,Academic construct from OpenAlex literature.,OpenAlex,4
Vocational rehabilitation,Academic construct from OpenAlex literature.,OpenAlex,4
Service worker,Academic construct from OpenAlex literature.,OpenAlex,4
Interdisciplinarity,Academic construct from OpenAlex literature.,OpenAlex,4
Positive attitude,Academic construct from OpenAlex literature.,OpenAlex,4
Intersubjectivity,Academic construct from OpenAlex literature.,OpenAlex,4
Egalitarianism,Academic construct from OpenAlex literature.,OpenAlex,4
Behavioral pattern,Academic construct from OpenAlex literature.,OpenAlex,4
Minority group,Academic construct from OpenAlex literature.,OpenAlex,4
Scalability,Academic construct from OpenAlex literature.,OpenAlex,4
Knowledge economy,Academic construct from OpenAlex literature.,OpenAlex,4
Informatics,Academic construct from OpenAlex literature.,OpenAlex,4
Sexual abuse,Academic construct from OpenAlex literature.,OpenAlex,4
Intellectual capital,Academic construct from OpenAlex literature.,OpenAlex,4
Human welfare,Academic construct from OpenAlex literature.,OpenAlex,4
Abnormality,Academic construct from OpenAlex literature.,OpenAlex,4
Participant observation,Academic construct from OpenAlex literature.,OpenAlex,4
Use of force,Academic construct from OpenAlex literature.,OpenAlex,4
Miller,Academic construct from OpenAlex literature.,OpenAlex,4
Executive board,Academic construct from OpenAlex literature.,OpenAlex,4
Financial capital,Academic construct from OpenAlex literature.,OpenAlex,4
Self-report study,Academic construct from OpenAlex literature.,OpenAlex,4
Self-disclosure,Academic construct from OpenAlex literature.,OpenAlex,4
Corporate sustainability,Academic construct from OpenAlex literature.,OpenAlex,4
Ethical values,Academic construct from OpenAlex literature.,OpenAlex,4
Quality management,Academic construct from OpenAlex literature.,OpenAlex,4
Structural approach,Academic construct from OpenAlex literature.,OpenAlex,4
Industrialisation,Academic construct from OpenAlex literature.,OpenAlex,4
Contentment,Academic construct from OpenAlex literature.,OpenAlex,4
Career Pathways,Academic construct from OpenAlex literature.,OpenAlex,4
Greenwashing,Academic construct from OpenAlex literature.,OpenAlex,4
Ethical decision,Academic construct from OpenAlex literature.,OpenAlex,4
Countertransference,Academic construct from OpenAlex literature.,OpenAlex,4
Economic capital,Academic construct from OpenAlex literature.,OpenAlex,4
Career portfolio,Academic construct from OpenAlex literature.,OpenAlex,4
Backlash,Academic construct from OpenAlex literature.,OpenAlex,4
Abusive relationship,Academic construct from OpenAlex literature.,OpenAlex,4
Trainer,Academic construct from OpenAlex literature.,OpenAlex,4
Small business,Academic construct from OpenAlex literature.,OpenAlex,4
Danish,Academic construct from OpenAlex literature.,OpenAlex,4
Decision process,Academic construct from OpenAlex literature.,OpenAlex,4
Architecture,Academic construct from OpenAlex literature.,OpenAlex,4
Triangulation,Academic construct from OpenAlex literature.,OpenAlex,4
Hazard,Academic construct from OpenAlex literature.,OpenAlex,4
Working time,Academic construct from OpenAlex literature.,OpenAlex,4
Cornerstone,Academic construct from OpenAlex literature.,OpenAlex,4
Unrest,Academic construct from OpenAlex literature.,OpenAlex,4
Peacekeeping,Academic construct from OpenAlex literature.,OpenAlex,4
Consumption (sociology),Academic construct from OpenAlex literature.,OpenAlex,4
Pearson product-moment correlation coefficient,Academic construct from OpenAlex literature.,OpenAlex,4
Alcohol,Academic construct from OpenAlex literature.,OpenAlex,4
Learning styles,Academic construct from OpenAlex literature.,OpenAlex,4
Enthusiasm,Academic construct from OpenAlex literature.,OpenAlex,4
Occupational exposure,Academic construct from OpenAlex literature.,OpenAlex,4
Job dissatisfaction,Academic construct from OpenAlex literature.,OpenAlex,4
Business intelligence,Academic construct from OpenAlex literature.,OpenAlex,4
Mental distress,Academic construct from OpenAlex literature.,OpenAlex,4
Innovation management,Academic construct from OpenAlex literature.,OpenAlex,4
Task group,Academic construct from OpenAlex literature.,OpenAlex,4
OPM3,Academic construct from OpenAlex literature.,OpenAlex,4
Climbing,Academic construct from OpenAlex literature.,OpenAlex,4
Chinese culture,Academic construct from OpenAlex literature.,OpenAlex,4
Tanzania,Academic construct from OpenAlex literature.,OpenAlex,4
Comprehension,Academic construct from OpenAlex literature.,OpenAlex,4
Occupational training,Academic construct from OpenAlex literature.,OpenAlex,4
Organizational ethics,Academic construct from OpenAlex literature.,OpenAlex,4
Job interview,Academic construct from OpenAlex literature.,OpenAlex,4
Temperament,Academic construct from OpenAlex literature.,OpenAlex,4
Middle East,Academic construct from OpenAlex literature.,OpenAlex,4
Associate editor,Academic construct from OpenAlex literature.,OpenAlex,4
Social organization,Academic construct from OpenAlex literature.,OpenAlex,4
Perceived control,Academic construct from OpenAlex literature.,OpenAlex,4
Legislature,Academic construct from OpenAlex literature.,OpenAlex,4
Social intelligence,Academic construct from OpenAlex literature.,OpenAlex,4
Social learning,Academic construct from OpenAlex literature.,OpenAlex,4
Audience measurement,Academic construct from OpenAlex literature.,OpenAlex,4
Balance theory,Academic construct from OpenAlex literature.,OpenAlex,4
Multidimensional scaling,Academic construct from OpenAlex literature.,OpenAlex,4
Witness,Academic construct from OpenAlex literature.,OpenAlex,4
Meritocracy,Academic construct from OpenAlex literature.,OpenAlex,4
Generativity,Academic construct from OpenAlex literature.,OpenAlex,4
Informal organization,Academic construct from OpenAlex literature.,OpenAlex,4
Mentally retarded,Academic construct from OpenAlex literature.,OpenAlex,4
Dream,Academic construct from OpenAlex literature.,OpenAlex,4
Symbolic interactionism,Academic construct from OpenAlex literature.,OpenAlex,4
Liability,Academic construct from OpenAlex literature.,OpenAlex,4
Subjectification,Academic construct from OpenAlex literature.,OpenAlex,4
White paper,Academic construct from OpenAlex literature.,OpenAlex,4
Vision,Academic construct from OpenAlex literature.,OpenAlex,4
Executive compensation,Academic construct from OpenAlex literature.,OpenAlex,4
Gender bias,Academic construct from OpenAlex literature.,OpenAlex,4
Working memory,Academic construct from OpenAlex literature.,OpenAlex,4
Kenya,Academic construct from OpenAlex literature.,OpenAlex,4
Relative deprivation,Academic construct from OpenAlex literature.,OpenAlex,4
Delegate,Academic construct from OpenAlex literature.,OpenAlex,4
Gibbs isotherm,Academic construct from OpenAlex literature.,OpenAlex,4
Pulmonary surfactant,Academic construct from OpenAlex literature.,OpenAlex,4
Curse of dimensionality,Academic construct from OpenAlex literature.,OpenAlex,4
Spouse,Academic construct from OpenAlex literature.,OpenAlex,4
Cross-sectional study,Academic construct from OpenAlex literature.,OpenAlex,4
Disadvantage,Academic construct from OpenAlex literature.,OpenAlex,4
Download,Academic construct from OpenAlex literature.,OpenAlex,4
Pride,Academic construct from OpenAlex literature.,OpenAlex,4
Masculinity,Academic construct from OpenAlex literature.,OpenAlex,4
Artificial neural network,Academic construct from OpenAlex literature.,OpenAlex,4
Attribution bias,Academic construct from OpenAlex literature.,OpenAlex,4
Helpfulness,Academic construct from OpenAlex literature.,OpenAlex,4
Professionalization,Academic construct from OpenAlex literature.,OpenAlex,4
Malleability,Academic construct from OpenAlex literature.,OpenAlex,4
Paid work,Academic construct from OpenAlex literature.,OpenAlex,4
Social injustice,Academic construct from OpenAlex literature.,OpenAlex,4
Crisis response,Academic construct from OpenAlex literature.,OpenAlex,4
Unitary state,Academic construct from OpenAlex literature.,OpenAlex,4
Nothing,Academic construct from OpenAlex literature.,OpenAlex,4
Participatory management,Academic construct from OpenAlex literature.,OpenAlex,4
Ignorance,Academic construct from OpenAlex literature.,OpenAlex,4
Self-monitoring,Academic construct from OpenAlex literature.,OpenAlex,4
Emotional expression,Academic construct from OpenAlex literature.,OpenAlex,4
Storytelling,Academic construct from OpenAlex literature.,OpenAlex,4
Asian americans,Academic construct from OpenAlex literature.,OpenAlex,4
Social cognitive theory of morality,Academic construct from OpenAlex literature.,OpenAlex,4
Safeguarding,Academic construct from OpenAlex literature.,OpenAlex,4
Metaverse,Academic construct from OpenAlex literature.,OpenAlex,4
Study abroad,Academic construct from OpenAlex literature.,OpenAlex,4
Schedule,Academic construct from OpenAlex literature.,OpenAlex,4
Recession,Academic construct from OpenAlex literature.,OpenAlex,4
Mainland,Academic construct from OpenAlex literature.,OpenAlex,4
Positive Youth Development,Academic construct from OpenAlex literature.,OpenAlex,4
Decision maker,Academic construct from OpenAlex literature.,OpenAlex,4
Boss,Academic construct from OpenAlex literature.,OpenAlex,4
Disabled people,Academic construct from OpenAlex literature.,OpenAlex,4
Scope of practice,Academic construct from OpenAlex literature.,OpenAlex,4
Tacit knowledge,Academic construct from OpenAlex literature.,OpenAlex,4
People of color,Academic construct from OpenAlex literature.,OpenAlex,4
Tokenism,Academic construct from OpenAlex literature.,OpenAlex,4
Analytic hierarchy process,Academic construct from OpenAlex literature.,OpenAlex,4
Personality development,Academic construct from OpenAlex literature.,OpenAlex,4
Luck,Academic construct from OpenAlex literature.,OpenAlex,4
Substance abuse,Academic construct from OpenAlex literature.,OpenAlex,4
Toll,Academic construct from OpenAlex literature.,OpenAlex,4
Emotional competence,Academic construct from OpenAlex literature.,OpenAlex,4
Lesbian,Academic construct from OpenAlex literature.,OpenAlex,4
Personality type,Academic construct from OpenAlex literature.,OpenAlex,4
Decision quality,Academic construct from OpenAlex literature.,OpenAlex,4
Burn out,Academic construct from OpenAlex literature.,OpenAlex,4
Hostility,Academic construct from OpenAlex literature.,OpenAlex,4
Supported employment,Academic construct from OpenAlex literature.,OpenAlex,4
Confounding,Academic construct from OpenAlex literature.,OpenAlex,4
Character traits,Academic construct from OpenAlex literature.,OpenAlex,4
Exploit,Academic construct from OpenAlex literature.,OpenAlex,4
Statistic,Academic construct from OpenAlex literature.,OpenAlex,4
Transfer of learning,Academic construct from OpenAlex literature.,OpenAlex,4
Spurious relationship,Academic construct from OpenAlex literature.,OpenAlex,4
Hierarchical organization,Academic construct from OpenAlex literature.,OpenAlex,4
Authoritarian leadership style,Academic construct from OpenAlex literature.,OpenAlex,4
Acknowledgement,Academic construct from OpenAlex literature.,OpenAlex,4
Emerging markets,Academic construct from OpenAlex literature.,OpenAlex,4
Diaspora,Academic construct from OpenAlex literature.,OpenAlex,3
Inclusion–exclusion principle,Academic construct from OpenAlex literature.,OpenAlex,3
In-group favoritism,Academic construct from OpenAlex literature.,OpenAlex,3
Implicit personality theory,Academic construct from OpenAlex literature.,OpenAlex,3
Level of measurement,Academic construct from OpenAlex literature.,OpenAlex,3
Stress measures,Academic construct from OpenAlex literature.,OpenAlex,3
Subject matter,Academic construct from OpenAlex literature.,OpenAlex,3
Contradiction,Academic construct from OpenAlex literature.,OpenAlex,3
CINAHL,Academic construct from OpenAlex literature.,OpenAlex,3
Reputation management,Academic construct from OpenAlex literature.,OpenAlex,3
Worry,Academic construct from OpenAlex literature.,OpenAlex,3
Life insurance,Academic construct from OpenAlex literature.,OpenAlex,3
Suite,Academic construct from OpenAlex literature.,OpenAlex,3
Co-citation,Academic construct from OpenAlex literature.,OpenAlex,3
Categorical variable,Academic construct from OpenAlex literature.,OpenAlex,3
Modernization theory,Academic construct from OpenAlex literature.,OpenAlex,3
Crossover,Academic construct from OpenAlex literature.,OpenAlex,3
Sleep deprivation,Academic construct from OpenAlex literature.,OpenAlex,3
Diabetes mellitus,Academic construct from OpenAlex literature.,OpenAlex,3
Psychosocial support,Academic construct from OpenAlex literature.,OpenAlex,3
Sleep disorder,Academic construct from OpenAlex literature.,OpenAlex,3
Emotional regulation,Academic construct from OpenAlex literature.,OpenAlex,3
Collaboratory,Academic construct from OpenAlex literature.,OpenAlex,3
Scholarly communication,Academic construct from OpenAlex literature.,OpenAlex,3
Credentialing,Academic construct from OpenAlex literature.,OpenAlex,3
Gender equity,Academic construct from OpenAlex literature.,OpenAlex,3
Disaster response,Academic construct from OpenAlex literature.,OpenAlex,3
Virtual machine,Academic construct from OpenAlex literature.,OpenAlex,3
Theory of change,Academic construct from OpenAlex literature.,OpenAlex,3
Linear relationship,Academic construct from OpenAlex literature.,OpenAlex,3
Truck,Academic construct from OpenAlex literature.,OpenAlex,3
The Emotional Intelligence Appraisal,Academic construct from OpenAlex literature.,OpenAlex,3
External auditor,Academic construct from OpenAlex literature.,OpenAlex,3
Time perspective,Academic construct from OpenAlex literature.,OpenAlex,3
Guanxi,Academic construct from OpenAlex literature.,OpenAlex,3
Marital relationship,Academic construct from OpenAlex literature.,OpenAlex,3
Workers' compensation,Academic construct from OpenAlex literature.,OpenAlex,3
Relational view,Academic construct from OpenAlex literature.,OpenAlex,3
Management by objectives,Academic construct from OpenAlex literature.,OpenAlex,3
Amplifier,Academic construct from OpenAlex literature.,OpenAlex,3
Task management,Academic construct from OpenAlex literature.,OpenAlex,3
Hotel industry,Academic construct from OpenAlex literature.,OpenAlex,3
Objectivism,Academic construct from OpenAlex literature.,OpenAlex,3
Choice architecture,Academic construct from OpenAlex literature.,OpenAlex,3
Moral development,Academic construct from OpenAlex literature.,OpenAlex,3
Bystander effect,Academic construct from OpenAlex literature.,OpenAlex,3
Work schedule,Academic construct from OpenAlex literature.,OpenAlex,3
Strict constructionism,Academic construct from OpenAlex literature.,OpenAlex,3
Sexual minority,Academic construct from OpenAlex literature.,OpenAlex,3
Social distance,Academic construct from OpenAlex literature.,OpenAlex,3
Courage,Academic construct from OpenAlex literature.,OpenAlex,3
Biometrics,Academic construct from OpenAlex literature.,OpenAlex,3
Accident-proneness,Academic construct from OpenAlex literature.,OpenAlex,3
Office automation,Academic construct from OpenAlex literature.,OpenAlex,3
European union,Academic construct from OpenAlex literature.,OpenAlex,3
Differential item functioning,Academic construct from OpenAlex literature.,OpenAlex,3
Peer review,Academic construct from OpenAlex literature.,OpenAlex,3
Automaticity,Academic construct from OpenAlex literature.,OpenAlex,3
Blank,Academic construct from OpenAlex literature.,OpenAlex,3
Retention Management,Academic construct from OpenAlex literature.,OpenAlex,3
Social needs,Academic construct from OpenAlex literature.,OpenAlex,3
Consolidation (business),Academic construct from OpenAlex literature.,OpenAlex,3
Counterpoint,Academic construct from OpenAlex literature.,OpenAlex,3
Unification,Academic construct from OpenAlex literature.,OpenAlex,3
Liberian dollar,Academic construct from OpenAlex literature.,OpenAlex,3
Situationism,Academic construct from OpenAlex literature.,OpenAlex,3
Social stress,Academic construct from OpenAlex literature.,OpenAlex,3
Affirmative action,Academic construct from OpenAlex literature.,OpenAlex,3
Self-assessment,Academic construct from OpenAlex literature.,OpenAlex,3
Data breach,Academic construct from OpenAlex literature.,OpenAlex,3
Knowledge transfer,Academic construct from OpenAlex literature.,OpenAlex,3
Professional sport,Academic construct from OpenAlex literature.,OpenAlex,3
Knight,Academic construct from OpenAlex literature.,OpenAlex,3
Impact factor,Academic construct from OpenAlex literature.,OpenAlex,3
Relational contract,Academic construct from OpenAlex literature.,OpenAlex,3
Technician,Academic construct from OpenAlex literature.,OpenAlex,3
Bond,Academic construct from OpenAlex literature.,OpenAlex,3
Financial management,Academic construct from OpenAlex literature.,OpenAlex,3
Cross disciplinary,Academic construct from OpenAlex literature.,OpenAlex,3
Labor contract,Academic construct from OpenAlex literature.,OpenAlex,3
Predictability,Academic construct from OpenAlex literature.,OpenAlex,3
Emotional stress,Academic construct from OpenAlex literature.,OpenAlex,3
Criticism,Academic construct from OpenAlex literature.,OpenAlex,3
Personal knowledge management,Academic construct from OpenAlex literature.,OpenAlex,3
Petroleum industry,Academic construct from OpenAlex literature.,OpenAlex,3
Griffin,Academic construct from OpenAlex literature.,OpenAlex,3
Decision aids,Academic construct from OpenAlex literature.,OpenAlex,3
Electronics,Academic construct from OpenAlex literature.,OpenAlex,3
Train,Academic construct from OpenAlex literature.,OpenAlex,3
State agency,Academic construct from OpenAlex literature.,OpenAlex,3
Denial,Academic construct from OpenAlex literature.,OpenAlex,3
Interim,Academic construct from OpenAlex literature.,OpenAlex,3
Local government,Academic construct from OpenAlex literature.,OpenAlex,3
Reading comprehension,Academic construct from OpenAlex literature.,OpenAlex,3
Pareto principle,Academic construct from OpenAlex literature.,OpenAlex,3
Engaged scholarship,Academic construct from OpenAlex literature.,OpenAlex,3
Accommodation,Academic construct from OpenAlex literature.,OpenAlex,3
Scientific discovery,Academic construct from OpenAlex literature.,OpenAlex,3
Personalization,Academic construct from OpenAlex literature.,OpenAlex,3
Family business,Academic construct from OpenAlex literature.,OpenAlex,3
Crew,Academic construct from OpenAlex literature.,OpenAlex,3
International comparisons,Academic construct from OpenAlex literature.,OpenAlex,3
Psychoneuroimmunology,Academic construct from OpenAlex literature.,OpenAlex,3
Cultural bias,Academic construct from OpenAlex literature.,OpenAlex,3
Working population,Academic construct from OpenAlex literature.,OpenAlex,3
Social worlds,Academic construct from OpenAlex literature.,OpenAlex,3
USable,Academic construct from OpenAlex literature.,OpenAlex,3
California Psychological Inventory,Academic construct from OpenAlex literature.,OpenAlex,3
Prison,Academic construct from OpenAlex literature.,OpenAlex,3
Glass ceiling,Academic construct from OpenAlex literature.,OpenAlex,3
Introspection,Academic construct from OpenAlex literature.,OpenAlex,3
Repressor,Academic construct from OpenAlex literature.,OpenAlex,3
Transcription factor,Academic construct from OpenAlex literature.,OpenAlex,3
Social phenomenon,Academic construct from OpenAlex literature.,OpenAlex,3
Interpersonal interaction,Academic construct from OpenAlex literature.,OpenAlex,3
Institutional logic,Academic construct from OpenAlex literature.,OpenAlex,3
Eye tracking,Academic construct from OpenAlex literature.,OpenAlex,3
Group process,Academic construct from OpenAlex literature.,OpenAlex,3
Artificial general intelligence,Academic construct from OpenAlex literature.,OpenAlex,3
Service-orientation,Academic construct from OpenAlex literature.,OpenAlex,3
Designtheory,Academic construct from OpenAlex literature.,OpenAlex,3
Femininity,Academic construct from OpenAlex literature.,OpenAlex,3
sort,Academic construct from OpenAlex literature.,OpenAlex,3
Explained variation,Academic construct from OpenAlex literature.,OpenAlex,3
Total quality management,Academic construct from OpenAlex literature.,OpenAlex,3
Circadian rhythm,Academic construct from OpenAlex literature.,OpenAlex,3
Service recovery,Academic construct from OpenAlex literature.,OpenAlex,3
Performance enhancement,Academic construct from OpenAlex literature.,OpenAlex,3
Conflict theories,Academic construct from OpenAlex literature.,OpenAlex,3
Realism,Academic construct from OpenAlex literature.,OpenAlex,3
Human reliability,Academic construct from OpenAlex literature.,OpenAlex,3
African american,Academic construct from OpenAlex literature.,OpenAlex,3
Executive functions,Academic construct from OpenAlex literature.,OpenAlex,3
Presidency,Academic construct from OpenAlex literature.,OpenAlex,3
Applied ethics,Academic construct from OpenAlex literature.,OpenAlex,3
Behavioural genetics,Academic construct from OpenAlex literature.,OpenAlex,3
Mirroring,Academic construct from OpenAlex literature.,OpenAlex,3
Card sorting,Academic construct from OpenAlex literature.,OpenAlex,3
Partner effects,Academic construct from OpenAlex literature.,OpenAlex,3
Relationship maintenance,Academic construct from OpenAlex literature.,OpenAlex,3
Cash,Academic construct from OpenAlex literature.,OpenAlex,3
Repertoire,Academic construct from OpenAlex literature.,OpenAlex,3
Self-actualization,Academic construct from OpenAlex literature.,OpenAlex,3
Pillar,Academic construct from OpenAlex literature.,OpenAlex,3
Poverty reduction,Academic construct from OpenAlex literature.,OpenAlex,3
Nuclear power plant,Academic construct from OpenAlex literature.,OpenAlex,3
Cognitive behavioral therapy,Academic construct from OpenAlex literature.,OpenAlex,3
Repeated measures design,Academic construct from OpenAlex literature.,OpenAlex,3
Psychodrama,Academic construct from OpenAlex literature.,OpenAlex,3
ICTS,Academic construct from OpenAlex literature.,OpenAlex,3
Conviction,Academic construct from OpenAlex literature.,OpenAlex,3
Career path,Academic construct from OpenAlex literature.,OpenAlex,3
Global Leadership,Academic construct from OpenAlex literature.,OpenAlex,3
Quality circle,Academic construct from OpenAlex literature.,OpenAlex,3
Cross-cultural leadership,Academic construct from OpenAlex literature.,OpenAlex,3
Cultural assimilation,Academic construct from OpenAlex literature.,OpenAlex,3
Malingering,Academic construct from OpenAlex literature.,OpenAlex,3
Boom,Academic construct from OpenAlex literature.,OpenAlex,3
Empirical measure,Academic construct from OpenAlex literature.,OpenAlex,3
Cognitive robotics,Academic construct from OpenAlex literature.,OpenAlex,3
Primary care,Academic construct from OpenAlex literature.,OpenAlex,3
