Construct_Name,Source,Total_Paper_Count,Concept_Levels,Journal_Count,Journals,Year_Min,Year_Max
Academic advising,OpenAlex,4,3,2,Journal of Applied Psychology; Journal of Vocational Behavior,1969,2025
Articulation (sociology),OpenAlex,4,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior,1970,2016
Autism spectrum disorder,OpenAlex,4,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Vocational Behavior,2011,2016
Ballot,OpenAlex,4,4,3,Academy of Management Journal; Journal of Applied Psychology; Personnel Psychology,1948,2011
Basic needs,OpenAlex,4,3,3,Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior,1982,2025
Bayes factor,OpenAlex,4,4,2,Journal of Applied Psychology; Journal of Management,2001,2014
Behaviour change,OpenAlex,4,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Organizational Behavior,2012,2026
Betweenness centrality,OpenAlex,4,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology,2008,2022
Biasing,OpenAlex,4,3,1,Journal of Applied Psychology,1953,1997
Biology and political orientation,OpenAlex,4,3,2,Applied Psychology: An International Review; Journal of Applied Psychology,2014,2020
Capital allocation line,OpenAlex,4,3,3,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior,2008,2017
Card sorting,OpenAlex,4,3,3,Journal of Applied Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1927,2003
Child sexual abuse,OpenAlex,4,5,2,Applied Psychology: An International Review; Journal of Applied Psychology,1997,2018
Cognitive development,OpenAlex,4,3,2,Journal of Applied Psychology; Journal of Vocational Behavior,1978,2015
Cognitive dimensions of notations,OpenAlex,4,3,3,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Personnel Psychology,1990,2004
Cognitive training,OpenAlex,4,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Personnel Psychology,2002,2015
Conciliation,OpenAlex,4,3,3,Academy of Management Journal; Applied Psychology: An International Review; Personnel Psychology,1950,2005
Constructive criticism,OpenAlex,4,3,2,Academy of Management Journal; Personnel Psychology,1951,2002
Course evaluation,OpenAlex,4,3,2,Journal of Applied Psychology; Personnel Psychology,1956,1975
Creating shared value,OpenAlex,4,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior,1980,2013
Credit card,OpenAlex,4,3,2,Applied Psychology: An International Review; Journal of Applied Psychology,1996,2020
Criminal Conviction,OpenAlex,4,3,2,Journal of Applied Psychology; Journal of Management,1982,2025
Dating violence,OpenAlex,4,5,2,Applied Psychology: An International Review; Journal of Occupational and Organizational Psychology,2018,2024
Decision engineering,OpenAlex,4,4,2,Journal of Applied Psychology; Journal of Vocational Behavior,1987,2021
Dementia,OpenAlex,4,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology,2006,2025
Depth perception,OpenAlex,4,3,1,Journal of Applied Psychology,1948,1957
Devaluation,OpenAlex,4,3,4,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Personnel Psychology,2006,2023
Disaster response,OpenAlex,4,3,2,Academy of Management Journal; Journal of Organizational Behavior,2011,2021
Disgust,OpenAlex,4,3,4,Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior; Personnel Psychology,2008,2023
Downside risk,OpenAlex,4,3,1,Academy of Management Journal,1996,2000
Early adulthood,OpenAlex,4,3,2,Journal of Applied Psychology; Journal of Vocational Behavior,1995,2018
Effective safety training,OpenAlex,4,5,1,Journal of Applied Psychology,2005,2025
Elementary cognitive task,OpenAlex,4,3,1,Journal of Applied Psychology,1992,2008
Emotion perception,OpenAlex,4,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management,2008,2026
Employee resource groups,OpenAlex,4,4,4,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,2009,2017
Entrepreneurial finance,OpenAlex,4,3,2,Academy of Management Journal; Journal of Management,2015,2020
Environmental change,OpenAlex,4,3,1,Journal of Management,1991,2005
Environmentalism,OpenAlex,4,3,3,Academy of Management Journal; Applied Psychology: An International Review; Journal of Management,1999,2023
Ethnic discrimination,OpenAlex,4,3,2,Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,2001,2015
Executive education,OpenAlex,4,4,2,Academy of Management Journal; Journal of Management,1964,1990
Facial attractiveness,OpenAlex,4,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Organizational Behavior,1986,2025
Family Leave,OpenAlex,4,3,2,Academy of Management Journal; Journal of Applied Psychology,2001,2025
Female entrepreneurs,OpenAlex,4,3,2,Journal of Management; Journal of Organizational Behavior,1987,2025
Fight-or-flight response,OpenAlex,4,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Management,1971,1993
File Transfer Protocol,OpenAlex,4,3,3,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,2011,2018
Financial compensation,OpenAlex,4,3,3,Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1983,2025
Fisher transformation,OpenAlex,4,3,1,Journal of Applied Psychology,1978,1987
GLARE,OpenAlex,4,3,1,Journal of Applied Psychology,1941,1981
Group selection,OpenAlex,4,3,3,Academy of Management Journal; Journal of Applied Psychology; Personnel Psychology,1948,2024
Health education,OpenAlex,4,3,2,Journal of Applied Psychology; Personnel Psychology,1992,2025
Help-seeking,OpenAlex,4,3,4,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,2011,2021
Herring,OpenAlex,4,3,1,Journal of Applied Psychology,1933,1981
Hybrid Monte Carlo,OpenAlex,4,4,1,Journal of Applied Psychology,1981,1989
Imputation (statistics),OpenAlex,4,3,1,Journal of Management,1995,1998
Influencer marketing,OpenAlex,4,4,2,Academy of Management Journal; Journal of Vocational Behavior,1981,2022
Information governance,OpenAlex,4,4,2,Academy of Management Journal; Applied Psychology: An International Review,1962,2026
Innovation process,OpenAlex,4,3,3,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior,1971,2014
Intercultural relations,OpenAlex,4,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Organizational Behavior,1995,2019
International relations,OpenAlex,4,3,3,Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,2004,2024
Inventory turnover,OpenAlex,4,3,3,Academy of Management Journal; Journal of Applied Psychology; Personnel Psychology,1948,2014
Investment strategy,OpenAlex,4,3,2,Academy of Management Journal; Journal of Management,1990,1992
Job dissatisfaction,OpenAlex,4,3,2,Journal of Vocational Behavior; Personnel Psychology,1979,2000
Jury instructions,OpenAlex,4,3,1,Journal of Applied Psychology,1993,2001
Jury trial,OpenAlex,4,3,1,Journal of Applied Psychology,1979,2002
Knowledge integration,OpenAlex,4,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Management,2012,2025
Leveraged buyout,OpenAlex,4,3,2,Academy of Management Journal; Journal of Management,1995,1995
Liberalism,OpenAlex,4,3,2,Academy of Management Journal; Journal of Applied Psychology,1948,2014
Maladaptive coping,OpenAlex,4,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Vocational Behavior,1984,2025
Market for corporate control,OpenAlex,4,4,2,Academy of Management Journal; Journal of Management,1993,2025
Memory test,OpenAlex,4,3,1,Journal of Applied Psychology,1917,2001
Moral behavior,OpenAlex,4,3,2,Academy of Management Journal; Journal of Applied Psychology,2008,2025
Motivational interviewing,OpenAlex,4,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Vocational Behavior,2002,2016
Narrative network,OpenAlex,4,5,3,Academy of Management Journal; Journal of Management; Journal of Vocational Behavior,1998,2019
Nepotism,OpenAlex,4,3,3,Academy of Management Journal; Journal of Occupational and Organizational Psychology; Personnel Psychology,2013,2026
Nested set model,OpenAlex,4,3,2,Journal of Management; Journal of Vocational Behavior,1995,2020
New business development,OpenAlex,4,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior,2007,2016
Night work,OpenAlex,4,3,3,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Personnel Psychology,1983,1998
Nomothetic,OpenAlex,4,3,4,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Vocational Behavior,1995,2010
Occupational health nursing,OpenAlex,4,4,1,Journal of Applied Psychology,2005,2025
Offspring,OpenAlex,4,3,2,Journal of Applied Psychology; Journal of Vocational Behavior,1978,2022
Oligopoly,OpenAlex,4,3,2,Academy of Management Journal; Journal of Management,1992,2010
OPM3,OpenAlex,4,4,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Management,1973,2011
Opportunity structures,OpenAlex,4,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Vocational Behavior,1984,2026
Organizational memory,OpenAlex,4,3,2,Academy of Management Journal; Journal of Management,2011,2018
Peer evaluation,OpenAlex,4,3,2,Journal of Applied Psychology; Personnel Psychology,1974,1988
People of color,OpenAlex,4,3,2,Academy of Management Journal; Journal of Vocational Behavior,2004,2018
Per capita,OpenAlex,4,3,3,Applied Psychology: An International Review; Journal of Management; Personnel Psychology,1985,2021
Perceived quality,OpenAlex,4,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management,1976,2025
Percept,OpenAlex,4,3,2,Journal of Applied Psychology; Journal of Organizational Behavior,1963,1997
Political communication,OpenAlex,4,3,3,Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,2005,2025
Potency,OpenAlex,4,3,3,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,1997,2011
Product lifecycle,OpenAlex,4,3,3,Academy of Management Journal; Journal of Management; Personnel Psychology,1984,1989
Professional psychology,OpenAlex,4,3,1,Journal of Applied Psychology,1931,1950
Project management triangle,OpenAlex,4,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Management,1973,2017
Protein subunit,OpenAlex,4,3,3,Academy of Management Journal; Journal of Management; Journal of Occupational and Organizational Psychology,1981,2017
Psychological abuse,OpenAlex,4,5,3,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology,2013,2023
Quartile,OpenAlex,4,3,4,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1953,2003
Random effects model,OpenAlex,4,3,2,Journal of Management; Personnel Psychology,1996,2019
Recall test,OpenAlex,4,4,1,Journal of Applied Psychology,1995,2007
Relationship marketing,OpenAlex,4,3,2,Academy of Management Journal; Journal of Vocational Behavior,1981,2022
Restricted stock,OpenAlex,4,4,2,Academy of Management Journal; Personnel Psychology,2005,2008
Sample variance,OpenAlex,4,3,3,Journal of Applied Psychology; Journal of Management; Personnel Psychology,1986,1999
Simple random sample,OpenAlex,4,3,2,Journal of Management; Personnel Psychology,1983,2002
Social desirability bias,OpenAlex,4,3,2,Academy of Management Journal; Journal of Applied Psychology,1981,1992
Social inequality,OpenAlex,4,3,2,Academy of Management Journal; Journal of Management,2016,2023
Social sustainability,OpenAlex,4,3,3,Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,2017,2025
Supervisory control,OpenAlex,4,3,2,Academy of Management Journal; Journal of Management,1978,1988
The Emotional Intelligence Appraisal,OpenAlex,4,3,2,Journal of Organizational Behavior; Journal of Vocational Behavior,2000,2017
Unemployment rate,OpenAlex,4,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Management,1991,2019
Vagueness,OpenAlex,4,3,2,Academy of Management Journal; Journal of Management,2017,2022
Varimax rotation,OpenAlex,4,4,2,Journal of Vocational Behavior; Personnel Psychology,1964,1994
Virtual work,OpenAlex,4,3,1,Journal of Management,2001,2001
Web syndication,OpenAlex,4,3,1,Academy of Management Journal,2012,2020
Weight loss,OpenAlex,4,3,2,Applied Psychology: An International Review; Journal of Vocational Behavior,1990,2025
Women entrepreneurs,OpenAlex,4,3,2,Journal of Management; Journal of Organizational Behavior,1987,2025
Working life,OpenAlex,4,3,2,Journal of Applied Psychology; Journal of Vocational Behavior,1981,2026
Action learning,OpenAlex,3,4,2,Academy of Management Journal; Journal of Organizational Behavior,2001,2012
Active duty,OpenAlex,3,3,3,Journal of Applied Psychology; Journal of Organizational Behavior; Personnel Psychology,1978,2023
Affect regulation,OpenAlex,3,3,2,Applied Psychology: An International Review; Journal of Organizational Behavior,2019,2025
Affective science,OpenAlex,3,3,3,Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior,1995,2025
Aircraft noise,OpenAlex,3,3,1,Journal of Applied Psychology,1975,1977
Alternative dispute resolution,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Organizational Behavior,2001,2013
Alternative hypothesis,OpenAlex,3,3,2,Journal of Management; Journal of Organizational Behavior,2005,2014
Architectural design,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Management,1991,2025
Asian values,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Vocational Behavior,2001,2018
Baby boom,OpenAlex,3,3,2,Journal of Organizational Behavior; Journal of Vocational Behavior,1991,2014
Bayesian statistics,OpenAlex,3,4,2,Journal of Applied Psychology; Journal of Management,2007,2013
Beck Depression Inventory,OpenAlex,3,3,2,Applied Psychology: An International Review; Journal of Vocational Behavior,1994,2021
Beijing,OpenAlex,3,3,2,Journal of Organizational Behavior; Journal of Vocational Behavior,2010,2022
Blood alcohol,OpenAlex,3,4,2,Applied Psychology: An International Review; Journal of Applied Psychology,1990,2014
Boundary object,OpenAlex,3,3,2,Academy of Management Journal; Journal of Occupational and Organizational Psychology,2008,2018
Brand preference,OpenAlex,3,3,1,Journal of Applied Psychology,1965,1993
Business process reengineering,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Management,1998,2002
Capability Maturity Model,OpenAlex,3,3,2,Journal of Vocational Behavior; Personnel Psychology,1979,2016
Ceiling effect,OpenAlex,3,3,2,Journal of Management; Personnel Psychology,2002,2025
Chinese family,OpenAlex,3,3,2,Academy of Management Journal; Journal of Organizational Behavior,1997,2000
Cognitive load,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Management,2012,2025
Cognitive therapy,OpenAlex,3,3,2,Applied Psychology: An International Review; Journal of Occupational and Organizational Psychology,2000,2021
Communication apprehension,OpenAlex,3,3,3,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology,1978,2009
Compassion fatigue,OpenAlex,3,3,3,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,2008,2022
Conglomerate,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Management,1978,1988
Conjoint analysis,OpenAlex,3,3,2,Journal of Vocational Behavior; Personnel Psychology,1975,1983
Cosmopolitanism,OpenAlex,3,3,2,Academy of Management Journal; Journal of Management,1983,2018
Craving,OpenAlex,3,3,2,Applied Psychology: An International Review; Journal of Applied Psychology,1932,2022
Creative brief,OpenAlex,3,3,2,Academy of Management Journal; Journal of Management,2025,2026
Creative thinking,OpenAlex,3,3,2,Journal of Applied Psychology; Personnel Psychology,1947,2021
Culprit,OpenAlex,3,3,1,Journal of Applied Psychology,2002,2003
Cultural identity,OpenAlex,3,3,3,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior,2003,2025
Customer equity,OpenAlex,3,5,2,Academy of Management Journal; Journal of Applied Psychology,1995,2012
Decision aids,OpenAlex,3,3,3,Applied Psychology: An International Review; Journal of Occupational and Organizational Psychology; Personnel Psychology,1996,2015
Decision field theory,OpenAlex,3,5,1,Journal of Vocational Behavior,1980,2004
Decoy,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology,1999,2018
Defence mechanisms,OpenAlex,3,3,2,Applied Psychology: An International Review; Journal of Applied Psychology,1972,2024
Delay discounting,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Vocational Behavior,1998,2005
Desensitization (medicine),OpenAlex,3,3,1,Applied Psychology: An International Review,2012,2016
Developed country,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Vocational Behavior,1979,2025
Diener,OpenAlex,3,3,2,Applied Psychology: An International Review; Journal of Vocational Behavior,1999,2016
Disabled people,OpenAlex,3,3,3,Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,2000,2026
Disparate impact,OpenAlex,3,3,1,Journal of Vocational Behavior,1988,1988
Dominance hierarchy,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Management,2007,2021
Dormancy,OpenAlex,3,3,2,Academy of Management Journal; Journal of Management,1980,1987
Dyslexia,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Vocational Behavior,1923,1998
Eating behavior,OpenAlex,3,3,1,Applied Psychology: An International Review,2020,2025
Ecological validity,OpenAlex,3,3,3,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology,1999,2025
Economic inequality,OpenAlex,3,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Organizational Behavior,2016,2021
Efficiency wage,OpenAlex,3,3,3,Academy of Management Journal; Journal of Applied Psychology; Personnel Psychology,1986,2004
Elaboration likelihood model,OpenAlex,3,3,3,Academy of Management Journal; Journal of Applied Psychology; Personnel Psychology,1989,2021
Electronic business,OpenAlex,3,3,1,Academy of Management Journal,1964,2016
Elitism,OpenAlex,3,3,2,Academy of Management Journal; Journal of Applied Psychology,1972,2020
Emotional distress,OpenAlex,3,3,3,Applied Psychology: An International Review; Journal of Occupational and Organizational Psychology; Personnel Psychology,1987,2025
Emotional valence,OpenAlex,3,3,3,Journal of Applied Psychology; Journal of Organizational Behavior; Personnel Psychology,1973,2019
Environmental governance,OpenAlex,3,3,3,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior,2009,2021
Environmental management system,OpenAlex,3,3,2,Academy of Management Journal; Journal of Organizational Behavior,2000,2012
Episodic memory,OpenAlex,3,3,2,Applied Psychology: An International Review; Journal of Applied Psychology,1996,2019
Evidence-based practice,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology,1986,2015
Expressive Suppression,OpenAlex,3,4,2,Journal of Management; Journal of Vocational Behavior,2008,2025
Fertility,OpenAlex,3,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology,2018,2025
First amendment,OpenAlex,3,3,1,Journal of Applied Psychology,1976,1981
Flight training,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Organizational Behavior,1947,2000
Fluid and crystallized intelligence,OpenAlex,3,5,2,Journal of Applied Psychology; Personnel Psychology,2000,2015
Fluid intelligence,OpenAlex,3,4,2,Journal of Applied Psychology; Personnel Psychology,2000,2015
Frame analysis,OpenAlex,3,3,2,Academy of Management Journal; Journal of Organizational Behavior,1988,2026
Fuzzy set,OpenAlex,3,3,3,Academy of Management Journal; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,1993,2016
Generalized anxiety disorder,OpenAlex,3,3,1,Applied Psychology: An International Review,2014,2021
Gestalt psychology,OpenAlex,3,3,1,Journal of Applied Psychology,1926,2007
Gross motor skill,OpenAlex,3,3,2,Applied Psychology: An International Review; Journal of Applied Psychology,1977,2005
Habitus,OpenAlex,3,3,2,Academy of Management Journal; Journal of Vocational Behavior,2013,2022
Health psychology,OpenAlex,3,3,1,Journal of Applied Psychology,2006,2011
Homicide,OpenAlex,3,4,2,Applied Psychology: An International Review; Journal of Applied Psychology,1995,2021
Hourly wage,OpenAlex,3,3,3,Academy of Management Journal; Journal of Vocational Behavior; Personnel Psychology,1975,2007
Human resource policies,OpenAlex,3,3,2,Journal of Occupational and Organizational Psychology; Personnel Psychology,1995,2026
Humanistic psychology,OpenAlex,3,3,2,Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,2006,2008
Identity change,OpenAlex,3,3,1,Academy of Management Journal,2016,2021
Identity negotiation,OpenAlex,3,3,1,Journal of Vocational Behavior,2010,2022
Immorality,OpenAlex,3,3,3,Academy of Management Journal; Journal of Management; Personnel Psychology,2016,2022
In-group favoritism,OpenAlex,3,4,3,Academy of Management Journal; Journal of Applied Psychology; Personnel Psychology,2000,2022
Informal education,OpenAlex,3,3,2,Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior,2013,2016
Information quality,OpenAlex,3,3,2,Academy of Management Journal; Journal of Organizational Behavior,1982,2018
Instrumental music,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Management,1918,1995
International conflict,OpenAlex,3,3,2,Academy of Management Journal; Journal of Applied Psychology,1987,2001
Intervening variable,OpenAlex,3,3,1,Journal of Organizational Behavior,1982,1998
Investor relations,OpenAlex,3,3,2,Academy of Management Journal; Journal of Management,2015,2026
Knowledge of results,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Organizational Behavior,1966,2025
Knowledge process outsourcing,OpenAlex,3,3,1,Journal of Management,1995,2008
Licensee,OpenAlex,3,3,2,Academy of Management Journal; Journal of Applied Psychology,2012,2026
Linear interpolation,OpenAlex,3,3,1,Journal of Applied Psychology,1950,1956
Managed care,OpenAlex,3,3,2,Academy of Management Journal; Journal of Applied Psychology,1969,2001
Mental age,OpenAlex,3,3,1,Journal of Applied Psychology,1918,1932
Messenger RNA,OpenAlex,3,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Management,2017,2025
Military psychology,OpenAlex,3,3,1,Personnel Psychology,1948,1959
Minority group,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology,2007,2025
Model minority,OpenAlex,3,4,2,Journal of Applied Psychology; Journal of Vocational Behavior,2021,2025
Monopolistic competition,OpenAlex,3,3,2,Academy of Management Journal; Personnel Psychology,2005,2018
Motion perception,OpenAlex,3,3,1,Journal of Applied Psychology,1951,1975
Narrative identity,OpenAlex,3,3,1,Journal of Vocational Behavior,2010,2025
Negotiation theory,OpenAlex,3,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Management,2013,2018
Neurocognitive,OpenAlex,3,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Organizational Behavior,2006,2024
New england,OpenAlex,3,3,1,Personnel Psychology,1957,2023
Non-qualified stock option,OpenAlex,3,5,2,Academy of Management Journal; Personnel Psychology,2005,2007
Nonsense,OpenAlex,3,3,3,Academy of Management Journal; Journal of Applied Psychology; Personnel Psychology,1934,2007
Offshoring,OpenAlex,3,3,2,Journal of Management; Journal of Vocational Behavior,2011,2024
One-way analysis of variance,OpenAlex,3,3,1,Journal of Management,1995,2017
Oppression,OpenAlex,3,3,1,Journal of Vocational Behavior,2011,2024
Optimal matching,OpenAlex,3,3,1,Journal of Vocational Behavior,2014,2020
Partial correlation,OpenAlex,3,3,1,Journal of Applied Psychology,1923,1982
Percentile rank,OpenAlex,3,3,3,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Personnel Psychology,1936,2009
Personality disorders,OpenAlex,3,3,2,Journal of Applied Psychology; Personnel Psychology,1944,2012
Phonological awareness,OpenAlex,3,3,1,Applied Psychology: An International Review,2005,2019
Political socialization,OpenAlex,3,4,3,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior,2005,2024
Population ageing,OpenAlex,3,3,3,Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,2022,2026
Power structure,OpenAlex,3,3,1,Academy of Management Journal,1993,2026
Presidential election,OpenAlex,3,3,3,Applied Psychology: An International Review; Journal of Management; Journal of Vocational Behavior,2014,2024
Private life,OpenAlex,3,3,2,Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,1984,2017
Procedural knowledge,OpenAlex,3,3,3,Academy of Management Journal; Journal of Applied Psychology; Personnel Psychology,2004,2012
Process theory,OpenAlex,3,3,2,Academy of Management Journal; Journal of Vocational Behavior,2004,2025
Production planning,OpenAlex,3,3,2,Academy of Management Journal; Journal of Applied Psychology,1977,1988
Project manager,OpenAlex,3,3,3,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior,1967,2017
Psychometrics of racism,OpenAlex,3,3,1,Journal of Applied Psychology,2022,2022
Psychosocial support,OpenAlex,3,3,2,Journal of Management; Journal of Vocational Behavior,1997,2010
Public service motivation,OpenAlex,3,3,2,Academy of Management Journal; Journal of Vocational Behavior,2007,2025
Regression diagnostic,OpenAlex,3,4,1,Journal of Management,1994,1996
Relational capital,OpenAlex,3,3,3,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior,2006,2025
Relay,OpenAlex,3,3,2,Academy of Management Journal; Journal of Applied Psychology,2004,2017
Resource recovery,OpenAlex,3,3,1,Journal of Applied Psychology,1977,2026
Return on assets,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Management,1986,2021
Return on investment,OpenAlex,3,3,2,Academy of Management Journal; Journal of Management,1978,2009
Robust confidence intervals,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Organizational Behavior,2004,2014
Scapegoating,OpenAlex,3,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Management,1944,2020
Seed dormancy,OpenAlex,3,4,2,Academy of Management Journal; Journal of Management,1980,1987
Self-employment,OpenAlex,3,3,3,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior,2012,2026
Service member,OpenAlex,3,3,1,Journal of Applied Psychology,1917,1972
Service product management,OpenAlex,3,5,1,Journal of Applied Psychology,2010,2016
Sexual assault,OpenAlex,3,4,3,Academy of Management Journal; Journal of Organizational Behavior; Journal of Vocational Behavior,1989,2005
Shareholder resolution,OpenAlex,3,4,2,Academy of Management Journal; Journal of Management,2013,2025
Shyness,OpenAlex,3,3,2,Journal of Organizational Behavior; Journal of Vocational Behavior,1996,2003
Simple linear regression,OpenAlex,3,3,3,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior,1985,2010
Social entrepreneurship,OpenAlex,3,3,2,Academy of Management Journal; Journal of Management,2017,2024
Spatial ability,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Vocational Behavior,1948,1993
Statistical process control,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Management,1986,1988
Stratification (seeds),OpenAlex,3,5,2,Academy of Management Journal; Journal of Management,1980,1987
Subjective expected utility,OpenAlex,3,3,2,Journal of Vocational Behavior; Personnel Psychology,1987,1993
Suicidal ideation,OpenAlex,3,4,2,Applied Psychology: An International Review; Journal of Vocational Behavior,1994,2005
Supplier relationship management,OpenAlex,3,4,2,Academy of Management Journal; Journal of Management,2005,2022
System justification,OpenAlex,3,4,2,Academy of Management Journal; Journal of Applied Psychology,2023,2025
Test statistic,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Management,2004,2010
Test theory,OpenAlex,3,3,2,Journal of Applied Psychology; Personnel Psychology,1978,1992
Traffic noise,OpenAlex,3,3,1,Journal of Applied Psychology,1981,2000
Translation (biology),OpenAlex,3,4,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Management,2017,2025
Type 2 diabetes,OpenAlex,3,3,1,Applied Psychology: An International Review,2010,2021
Unrest,OpenAlex,3,3,2,Academy of Management Journal; Journal of Applied Psychology,1950,2020
Value capture,OpenAlex,3,3,2,Academy of Management Journal; Journal of Management,2008,2021
Verbal memory,OpenAlex,3,3,1,Journal of Applied Psychology,1983,1999
Verifiable secret sharing,OpenAlex,3,3,2,Journal of Applied Psychology; Journal of Organizational Behavior,1975,2000
Virtual organization,OpenAlex,3,3,1,Journal of Management,2001,2004
Web of science,OpenAlex,3,3,3,Applied Psychology: An International Review; Journal of Management; Journal of Vocational Behavior,1989,2013
Wechsler Preschool and Primary Scale of Intelligence,OpenAlex,3,5,2,Applied Psychology: An International Review; Journal of Applied Psychology,1950,2021
Weight stigma,OpenAlex,3,4,2,Applied Psychology: An International Review; Journal of Applied Psychology,2015,2017
Zhàng,OpenAlex,3,3,2,Journal of Vocational Behavior; Personnel Psychology,2018,2023
