Construct_Name,Source,Definition_Text,Paper_Count,Reference_URLs
Idea Evaluation - Entry Requirement,O*NET,Entry requirement for evaluating the likely success of an idea in relation to the demands of the situation,0,https://www.onetonline.org/find/result?s=Idea+Evaluation+-+Entry+Requirement
Implementation Planning - Entry Requirement,O*NET,Entry requirement for developing approaches for implementing an idea,0,https://www.onetonline.org/find/result?s=Implementation+Planning+-+Entry+Requirement
Solution Appraisal - Entry Requirement,O*NET,Entry requirement for observing and evaluating the outcomes of a problem solution to identify lessons learned or redirect efforts,0,https://www.onetonline.org/find/result?s=Solution+Appraisal+-+Entry+Requirement
Technical Skills - Entry Requirement,O*NET,"Entry requirement for developed capacities used to design, set-up, operate, and correct malfunctions involving application of machines or technological systems",0,https://www.onetonline.org/find/result?s=Technical+Skills+-+Entry+Requirement
Operations Analysis - Entry Requirement,O*NET,Entry requirement for analyzing needs and product requirements to create a design,0,https://www.onetonline.org/find/result?s=Operations+Analysis+-+Entry+Requirement
Technology Design - Entry Requirement,O*NET,Entry requirement for generating or adapting equipment and technology to serve user needs,0,https://www.onetonline.org/find/result?s=Technology+Design+-+Entry+Requirement
Equipment Selection - Entry Requirement,O*NET,Entry requirement for determining the kind of tools and equipment needed to do a job,0,https://www.onetonline.org/find/result?s=Equipment+Selection+-+Entry+Requirement
Installation - Entry Requirement,O*NET,"Entry requirement for installing equipment, machines, wiring, or programs to meet specifications",0,https://www.onetonline.org/find/result?s=Installation+-+Entry+Requirement
Programming - Entry Requirement,O*NET,Entry requirement for writing computer programs for various purposes,0,https://www.onetonline.org/find/result?s=Programming+-+Entry+Requirement
Testing - Entry Requirement,O*NET,"Entry requirement for conducting tests to determine whether equipment, software, or procedures are operating as expected",0,https://www.onetonline.org/find/result?s=Testing+-+Entry+Requirement
Operation Monitoring - Entry Requirement,O*NET,"Entry requirement for watching gauges, dials, or other indicators to make sure a machine is working properly",0,https://www.onetonline.org/find/result?s=Operation+Monitoring+-+Entry+Requirement
Operation and Control - Entry Requirement,O*NET,Entry requirement for controlling operations of equipment or systems,0,https://www.onetonline.org/find/result?s=Operation+and+Control+-+Entry+Requirement
Product Inspection - Entry Requirement,O*NET,Entry requirement for inspecting and evaluating the quality of products,0,https://www.onetonline.org/find/result?s=Product+Inspection+-+Entry+Requirement
Equipment Maintenance - Entry Requirement,O*NET,Entry requirement for performing routine maintenance and determining when and what kind of maintenance is needed,0,https://www.onetonline.org/find/result?s=Equipment+Maintenance+-+Entry+Requirement
Troubleshooting - Entry Requirement,O*NET,Entry requirement for determining what is causing an operating error and deciding what to do about it,0,https://www.onetonline.org/find/result?s=Troubleshooting+-+Entry+Requirement
Repairing - Entry Requirement,O*NET,Entry requirement for repairing machines or systems using the needed tools,0,https://www.onetonline.org/find/result?s=Repairing+-+Entry+Requirement
Systems Skills - Entry Requirement,O*NET,"Entry requirement for developed capacities used to understand, monitor, and improve socio-technical systems",0,https://www.onetonline.org/find/result?s=Systems+Skills+-+Entry+Requirement
Visioning - Entry Requirement,O*NET,Entry requirement for developing an image of how a system should work under ideal conditions,0,https://www.onetonline.org/find/result?s=Visioning+-+Entry+Requirement
Systems Perception - Entry Requirement,O*NET,Entry requirement for determining when important changes have occurred in a system or are likely to occur,0,https://www.onetonline.org/find/result?s=Systems+Perception+-+Entry+Requirement
Identifying Downstream Consequences - Entry Requirement,O*NET,Entry requirement for determining the long-term outcomes of a change in operations,0,https://www.onetonline.org/find/result?s=Identifying+Downstream+Consequences+-+Entry+Requirement
Identification of Key Causes - Entry Requirement,O*NET,Entry requirement for identifying the things that must be changed to achieve a goal,0,https://www.onetonline.org/find/result?s=Identification+of+Key+Causes+-+Entry+Requirement
Judgment and Decision Making - Entry Requirement,O*NET,Entry requirement for weighing the relative costs and benefits of a potential action,0,https://www.onetonline.org/find/result?s=Judgment+and+Decision+Making+-+Entry+Requirement
System Evaluation - Entry Requirement,O*NET,"Entry requirement for looking at many indicators of system performance, taking into account their accuracy",0,https://www.onetonline.org/find/result?s=System+Evaluation+-+Entry+Requirement
Resource Management Skills - Entry Requirement,O*NET,Entry requirement for developed capacities used to allocate resources efficiently,0,https://www.onetonline.org/find/result?s=Resource+Management+Skills+-+Entry+Requirement
Time Management - Entry Requirement,O*NET,Entry requirement for managing one's own time and the time of others,0,https://www.onetonline.org/find/result?s=Time+Management+-+Entry+Requirement
Management of Financial Resources - Entry Requirement,O*NET,"Entry requirement for determining how money will be spent to get the work done, and accounting for these expenditures",0,https://www.onetonline.org/find/result?s=Management+of+Financial+Resources+-+Entry+Requirement
Management of Material Resources - Entry Requirement,O*NET,"Entry requirement for obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work",0,https://www.onetonline.org/find/result?s=Management+of+Material+Resources+-+Entry+Requirement
Management of Personnel Resources - Entry Requirement,O*NET,"Entry requirement for motivating, developing, and directing people as they work, identifying the best people for the job",0,https://www.onetonline.org/find/result?s=Management+of+Personnel+Resources+-+Entry+Requirement
Licensing,O*NET,"Licenses, certificates, or registrations that are awarded to show that a job holder has gained certain skills. This includes requirements for obtaining these credentials, and the organization or agency requiring their possession.",0,https://www.onetonline.org/find/result?s=Licensing
"License, Certificate, or Registration Required",O*NET,"At least one license, certificate, or registration is required to perform in this job, including a driver's or vehicle operator's license. The specific license(s), certificate(s), or registration(s) are listed.",0,https://www.onetonline.org/find/result?s=License%2C+Certificate%2C+or+Registration+Required
Specific License or Certificate Required,O*NET,"Specific education, training, examination, or other requirements for obtaining the licenses, certificates, or registration needed to perform in this job",0,https://www.onetonline.org/find/result?s=Specific+License+or+Certificate+Required
Post-Secondary Degree,O*NET,"Obtaining the licenses, certificates, or registration needed to perform in this job requires a post-secondary degree, for example an Associate's or Bachelor's degree.",0,https://www.onetonline.org/find/result?s=Post-Secondary+Degree
Graduate Degree,O*NET,"Obtaining the licenses, certificates, or registration needed to perform in this job requires a graduate degree, for example, a Master's or Doctoral degree.",0,https://www.onetonline.org/find/result?s=Graduate+Degree
Examination,O*NET,"Obtaining the licenses, certificates, or registration needed to perform in this job requires an examination, for example, written, oral, or performance assessments.",0,https://www.onetonline.org/find/result?s=Examination
Character References,O*NET,"Obtaining the licenses, certificates, or registration needed to perform in this job requires one or more character references from other individuals.",0,https://www.onetonline.org/find/result?s=Character+References
Additional Education and Training,O*NET,"Retaining the licenses, certificates, or registration needed to perform in this job requires additional course work.",0,https://www.onetonline.org/find/result?s=Additional+Education+and+Training
Organization and Agency Requirements,O*NET,"Organizations or agencies requiring the specific licenses, certificates, or registration needed to perform in a job",0,https://www.onetonline.org/find/result?s=Organization+and+Agency+Requirements
Legal Requirement,O*NET,"Federal, state, or local law requires possessing specific licenses, certificates, or registration for performance in this job.",0,https://www.onetonline.org/find/result?s=Legal+Requirement
Employer Requirement,O*NET,"Employers require possessing specific licenses, certificates, or registration for performance in this job.",0,https://www.onetonline.org/find/result?s=Employer+Requirement
"Union, Guild, or Professional Association",O*NET,"A union or professional association requires possessing specific licenses, certificates, or registration for performance in this job.",0,https://www.onetonline.org/find/result?s=Union%2C+Guild%2C+or+Professional+Association
Occupational Requirements,O*NET,Occupational Requirements,0,https://www.onetonline.org/find/result?s=Occupational+Requirements
Generalized Work Activities,O*NET,Work activities that are common across a very large number of occupations. They are performed in almost all job families and industries.,0,https://www.onetonline.org/find/result?s=Generalized+Work+Activities
Information Input,O*NET,Where and how are the information and data gained that are needed to perform this job?,0,https://www.onetonline.org/find/result?s=Information+Input
Looking for and Receiving Job-Related Information,O*NET,How is information obtained to perform this job?,0,https://www.onetonline.org/find/result?s=Looking+for+and+Receiving+Job-Related+Information
Getting Information,O*NET,"Observing, receiving, and otherwise obtaining information from all relevant sources.",0,https://www.onetonline.org/find/result?s=Getting+Information
"Monitoring Processes, Materials, or Surroundings",O*NET,"Monitoring and reviewing information from materials, events, or the environment, to detect or assess problems.",0,https://www.onetonline.org/find/result?s=Monitoring+Processes%2C+Materials%2C+or+Surroundings
Identifying and Evaluating Job-Relevant Information,O*NET,How is information interpreted to perform this job?,0,https://www.onetonline.org/find/result?s=Identifying+and+Evaluating+Job-Relevant+Information
"Identifying Objects, Actions, and Events",O*NET,"Identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events.",0,https://www.onetonline.org/find/result?s=Identifying+Objects%2C+Actions%2C+and+Events
"Inspecting Equipment, Structures, or Materials",O*NET,"Inspecting equipment, structures, or materials to identify the cause of errors or other problems or defects.",0,https://www.onetonline.org/find/result?s=Inspecting+Equipment%2C+Structures%2C+or+Materials
"Estimating the Quantifiable Characteristics of Products, Events, or Information",O*NET,"Estimating sizes, distances, and quantities; or determining time, costs, resources, or materials needed to perform a work activity.",0,https://www.onetonline.org/find/result?s=Estimating+the+Quantifiable+Characteristics+of+Products%2C+Events%2C+or+Information
Mental Processes,O*NET,"What processing, planning, problem-solving, decision-making, and innovating activities are performed with job-relevant information?",0,https://www.onetonline.org/find/result?s=Mental+Processes
Information and Data Processing,O*NET,How is information processed to perform this job?,0,https://www.onetonline.org/find/result?s=Information+and+Data+Processing
"Judging the Qualities of Objects, Services, or People",O*NET,"Assessing the value, importance, or quality of things or people.",0,https://www.onetonline.org/find/result?s=Judging+the+Qualities+of+Objects%2C+Services%2C+or+People
Processing Information,O*NET,"Compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data.",0,https://www.onetonline.org/find/result?s=Processing+Information
Evaluating Information to Determine Compliance with Standards,O*NET,"Using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards.",0,https://www.onetonline.org/find/result?s=Evaluating+Information+to+Determine+Compliance+with+Standards
Analyzing Data or Information,O*NET,"Identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts.",0,https://www.onetonline.org/find/result?s=Analyzing+Data+or+Information
Reasoning and Decision Making,O*NET,What decisions are made and problems solved in performing this job?,0,https://www.onetonline.org/find/result?s=Reasoning+and+Decision+Making
Making Decisions and Solving Problems,O*NET,Analyzing information and evaluating results to choose the best solution and solve problems.,0,https://www.onetonline.org/find/result?s=Making+Decisions+and+Solving+Problems
Thinking Creatively,O*NET,"Developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions.",0,https://www.onetonline.org/find/result?s=Thinking+Creatively
Updating and Using Relevant Knowledge,O*NET,Keeping up-to-date technically and applying new knowledge to your job.,0,https://www.onetonline.org/find/result?s=Updating+and+Using+Relevant+Knowledge
Developing Objectives and Strategies,O*NET,Establishing long-range objectives and specifying the strategies and actions to achieve them.,0,https://www.onetonline.org/find/result?s=Developing+Objectives+and+Strategies
Scheduling Work and Activities,O*NET,"Scheduling events, programs, and activities, as well as the work of others.",0,https://www.onetonline.org/find/result?s=Scheduling+Work+and+Activities
"Organizing, Planning, and Prioritizing Work",O*NET,"Developing specific goals and plans to prioritize, organize, and accomplish your work.",0,https://www.onetonline.org/find/result?s=Organizing%2C+Planning%2C+and+Prioritizing+Work
Work Output,O*NET,"What physical activities are performed, what equipment and vehicles are operated/controlled, and what complex/technical activities are accomplished as job outputs?",0,https://www.onetonline.org/find/result?s=Work+Output
Performing Physical and Manual Work Activities,O*NET,What activities using the body and hands are done to perform this job?,0,https://www.onetonline.org/find/result?s=Performing+Physical+and+Manual+Work+Activities
Performing General Physical Activities,O*NET,"Performing general physical activities includes doing activities that require considerable use of your arms and legs and moving your whole body, such as climbing, lifting, balancing, walking, stooping, and handling materials.",0,https://www.onetonline.org/find/result?s=Performing+General+Physical+Activities
Handling and Moving Objects,O*NET,"Using hands and arms in handling, installing, positioning, and moving materials, and manipulating things.",0,https://www.onetonline.org/find/result?s=Handling+and+Moving+Objects
Controlling Machines and Processes,O*NET,Using either control mechanisms or direct physical activity to operate machines or processes (not including computers or vehicles).,0,https://www.onetonline.org/find/result?s=Controlling+Machines+and+Processes
"Operating Vehicles, Mechanized Devices, or Equipment",O*NET,"Running, maneuvering, navigating, or driving vehicles or mechanized equipment, such as forklifts, passenger vehicles, aircraft, or watercraft.",0,https://www.onetonline.org/find/result?s=Operating+Vehicles%2C+Mechanized+Devices%2C+or+Equipment
Performing Complex and Technical Activities,O*NET,What skilled activities using coordinated movements are done to perform this job?,0,https://www.onetonline.org/find/result?s=Performing+Complex+and+Technical+Activities
Working with Computers,O*NET,"Using computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information.",0,https://www.onetonline.org/find/result?s=Working+with+Computers
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",O*NET,"Providing documentation, detailed instructions, drawings, or specifications to tell others about how devices, parts, equipment, or structures are to be fabricated, constructed, assembled, modified, maintained, or used.",0,https://www.onetonline.org/find/result?s=Drafting%2C+Laying+Out%2C+and+Specifying+Technical+Devices%2C+Parts%2C+and+Equipment
Repairing and Maintaining Mechanical Equipment,O*NET,"Servicing, repairing, adjusting, and testing machines, devices, moving parts, and equipment that operate primarily on the basis of mechanical (not electronic) principles.",0,https://www.onetonline.org/find/result?s=Repairing+and+Maintaining+Mechanical+Equipment
Repairing and Maintaining Electronic Equipment,O*NET,"Servicing, repairing, calibrating, regulating, fine-tuning, or testing machines, devices, and equipment that operate primarily on the basis of electrical or electronic (not mechanical) principles.",0,https://www.onetonline.org/find/result?s=Repairing+and+Maintaining+Electronic+Equipment
Documenting/Recording Information,O*NET,"Entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form.",0,https://www.onetonline.org/find/result?s=Documenting%2FRecording+Information
Interacting With Others,O*NET,What interactions with other persons or supervisory activities occur while performing this job?,0,https://www.onetonline.org/find/result?s=Interacting+With+Others
Communicating and Interacting,O*NET,What interactions with other people occur while performing this job?,0,https://www.onetonline.org/find/result?s=Communicating+and+Interacting
Interpreting the Meaning of Information for Others,O*NET,Translating or explaining what information means and how it can be used.,0,https://www.onetonline.org/find/result?s=Interpreting+the+Meaning+of+Information+for+Others
"Communicating with Supervisors, Peers, or Subordinates",O*NET,"Providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person.",0,https://www.onetonline.org/find/result?s=Communicating+with+Supervisors%2C+Peers%2C+or+Subordinates
Communicating with People Outside the Organization,O*NET,"Communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources. This information can be exchanged in person, in writing, or by telephone or e-mail.",0,https://www.onetonline.org/find/result?s=Communicating+with+People+Outside+the+Organization
Establishing and Maintaining Interpersonal Relationships,O*NET,"Developing constructive and cooperative working relationships with others, and maintaining them over time.",0,https://www.onetonline.org/find/result?s=Establishing+and+Maintaining+Interpersonal+Relationships
Assisting and Caring for Others,O*NET,"Providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients.",0,https://www.onetonline.org/find/result?s=Assisting+and+Caring+for+Others
Selling or Influencing Others,O*NET,Convincing others to buy merchandise/goods or to otherwise change their minds or actions.,0,https://www.onetonline.org/find/result?s=Selling+or+Influencing+Others
Resolving Conflicts and Negotiating with Others,O*NET,"Handling complaints, settling disputes, and resolving grievances and conflicts, or otherwise negotiating with others.",0,https://www.onetonline.org/find/result?s=Resolving+Conflicts+and+Negotiating+with+Others
Performing for or Working Directly with the Public,O*NET,"Performing for people or dealing directly with the public. This includes serving customers in restaurants and stores, and receiving clients or guests.",0,https://www.onetonline.org/find/result?s=Performing+for+or+Working+Directly+with+the+Public
"Coordinating, Developing, Managing, and Advising",O*NET,"What coordinating, managerial, or advisory activities are done while performing this job?",0,https://www.onetonline.org/find/result?s=Coordinating%2C+Developing%2C+Managing%2C+and+Advising
Coordinating the Work and Activities of Others,O*NET,Getting members of a group to work together to accomplish tasks.,0,https://www.onetonline.org/find/result?s=Coordinating+the+Work+and+Activities+of+Others
Developing and Building Teams,O*NET,"Encouraging and building mutual trust, respect, and cooperation among team members.",0,https://www.onetonline.org/find/result?s=Developing+and+Building+Teams
Training and Teaching Others,O*NET,"Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others.",0,https://www.onetonline.org/find/result?s=Training+and+Teaching+Others
"Guiding, Directing, and Motivating Subordinates",O*NET,"Providing guidance and direction to subordinates, including setting performance standards and monitoring performance.",0,https://www.onetonline.org/find/result?s=Guiding%2C+Directing%2C+and+Motivating+Subordinates
Coaching and Developing Others,O*NET,"Identifying the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills.",0,https://www.onetonline.org/find/result?s=Coaching+and+Developing+Others
Providing Consultation and Advice to Others,O*NET,"Providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics.",0,https://www.onetonline.org/find/result?s=Providing+Consultation+and+Advice+to+Others
Administering,O*NET,"What administrative, staffing, monitoring, or controlling activities are done while performing this job?",0,https://www.onetonline.org/find/result?s=Administering
Performing Administrative Activities,O*NET,Performing day-to-day administrative tasks such as maintaining information files and processing paperwork.,0,https://www.onetonline.org/find/result?s=Performing+Administrative+Activities
Staffing Organizational Units,O*NET,"Recruiting, interviewing, selecting, hiring, and promoting employees in an organization.",0,https://www.onetonline.org/find/result?s=Staffing+Organizational+Units
Monitoring and Controlling Resources,O*NET,Monitoring and controlling resources and overseeing the spending of money.,0,https://www.onetonline.org/find/result?s=Monitoring+and+Controlling+Resources
Organizational Context,O*NET,Characteristics of the organization that influence how people do their work,0,https://www.onetonline.org/find/result?s=Organizational+Context
Structural Characteristics,O*NET,"A functional subsystem of organization structure subsuming constructs of (a) organizational structure, and (b) human resources systems and practices",0,https://www.onetonline.org/find/result?s=Structural+Characteristics
Organizational Structure,O*NET,"The architecture or anatomy of an organization, affecting the behavior of organizational members as well as the ability of organizations to adapt effectively to their environments. Elements of organizational structure include the hierarchy of the organization, the degree of centralization, and the nature of work groups used to accomplish organizational objectives",0,https://www.onetonline.org/find/result?s=Organizational+Structure
Decision Making System,O*NET,The amount of autonomy and involvement in decision making that employees have,0,https://www.onetonline.org/find/result?s=Decision+Making+System
Decentralization and Employee Empowerment,O*NET,Indicates the degree to which employees are provided with different types of information and participate in decision-making,0,https://www.onetonline.org/find/result?s=Decentralization+and+Employee+Empowerment
Have Control Over Unit or Department,O*NET,You have a great deal of control over what happens in your unit or department,0,https://www.onetonline.org/find/result?s=Have+Control+Over+Unit+or+Department
Have Influence Over Decisions,O*NET,You have a great deal of influence over decisions that are made in your unit or department.,0,https://www.onetonline.org/find/result?s=Have+Influence+Over+Decisions
Monitor Data on Quality/Costs/Waste/etc.,O*NET,"You monitor data on quality, costs, waste, and productivity",0,https://www.onetonline.org/find/result?s=Monitor+Data+on+Quality%2FCosts%2FWaste%2Fetc.
Determine Work Flow or Order of Tasks,O*NET,You determine work flow or the order in which tasks are performed,0,https://www.onetonline.org/find/result?s=Determine+Work+Flow+or+Order+of+Tasks
Invest in New Equipment and Technology,O*NET,You invest in new equipment and technology,0,https://www.onetonline.org/find/result?s=Invest+in+New+Equipment+and+Technology
"Develop New Products, Services, and Procedures",O*NET,"You develop new products, services, and procedures",0,https://www.onetonline.org/find/result?s=Develop+New+Products%2C+Services%2C+and+Procedures
Individual versus Team Structure,O*NET,Identifies the extent to which employees work in intact teams,0,https://www.onetonline.org/find/result?s=Individual+versus+Team+Structure
Percent of Time in Intact Team,O*NET,"Approximately what percentage of your time do you spend working in an intact team? By intact team we mean a group of 3 or more employees who are jointly responsible for whole work processes and work toward shared goals (e.g., production team; development team; project team).",0,https://www.onetonline.org/find/result?s=Percent+of+Time+in+Intact+Team
Job Characteristics,O*NET,"Indicates the level of skill variety, task significance, task identity, autonomy, and feedback in this job",0,https://www.onetonline.org/find/result?s=Job+Characteristics
Skill Variety,O*NET,The variety of skills required of people in this job,0,https://www.onetonline.org/find/result?s=Skill+Variety
Job Variety,O*NET,"How much variety is there in your job? That is, to what extent does the job require you to do many different things at work, using a variety of your skills and talents?",0,https://www.onetonline.org/find/result?s=Job+Variety
Complex or High Level Skills Required,O*NET,Your job requires you to use a number of complex or high-level skills.,0,https://www.onetonline.org/find/result?s=Complex+or+High+Level+Skills+Required
Variety of Tasks Required,O*NET,Your job requires you to perform a variety of tasks.,0,https://www.onetonline.org/find/result?s=Variety+of+Tasks+Required
Task Significance,O*NET,"The importance or significance of the tasks performed on this job, as reflected by its effect on the lives or well-being of others",0,https://www.onetonline.org/find/result?s=Task+Significance
Significance or Importance of Job,O*NET,"In general, how significant or important is your job? That is, are the results of your work likely to significantly affect the lives or well-being of other people?",0,https://www.onetonline.org/find/result?s=Significance+or+Importance+of+Job
Job Quality Affects Lots of People,O*NET,Your job is one where a lot of people can be affected by how well the work gets done.,0,https://www.onetonline.org/find/result?s=Job+Quality+Affects+Lots+of+People
Job Itself Is Very Significant,O*NET,Your job itself is very significant and important in the broader scheme of things.,0,https://www.onetonline.org/find/result?s=Job+Itself+Is+Very+Significant
Task Identity,O*NET,The extent to which tasks performed on this job can be perceived as contributing to the final product,0,https://www.onetonline.org/find/result?s=Task+Identity
Job Involves Whole Piece of Work,O*NET,"To what extent does your job involve doing a 'whole' and identifiable piece of work? That is, is the job a complete piece of work that has an obvious beginning and end? Or is it only a small part of the overall piece of work, which is finished by other people or automatic machines? (If your job involves many different tasks or pieces of work, try to think about your typical tasks or the tasks you spend the most time on.)",0,https://www.onetonline.org/find/result?s=Job+Involves+Whole+Piece+of+Work
Can Do Entire Piece of Work,O*NET,Your job is arranged so that you can do an entire piece of work from beginning to end.,0,https://www.onetonline.org/find/result?s=Can+Do+Entire+Piece+of+Work
Can Finish What You Start,O*NET,Your job provides you a chance to completely finish the piece of work you began.,0,https://www.onetonline.org/find/result?s=Can+Finish+What+You+Start
Autonomy and Freedom in Job,O*NET,"How much autonomy and freedom are there in your job? That is, to what extent does your job permit you to decide on your own how to go about doing your job?",0,https://www.onetonline.org/find/result?s=Autonomy+and+Freedom+in+Job
Chance for Initiative and Judgment,O*NET,Your job gives you a chance to use your personal initiative and judgment in carrying out the work.,0,https://www.onetonline.org/find/result?s=Chance+for+Initiative+and+Judgment
Opportunity for Independence and Freedom,O*NET,Your job gives you considerable opportunity for independence and freedom in how you do your job.,0,https://www.onetonline.org/find/result?s=Opportunity+for+Independence+and+Freedom
Feedback,O*NET,The extent to which this job provides information about how well one is performing,0,https://www.onetonline.org/find/result?s=Feedback
Extent of Feedback From Doing Job Itself,O*NET,"To what extent does doing the job itself provide you with information about your work performance? That is, does the actual work itself provide clues about how well you are doing--aside from any 'feedback' co-workers or supervisors may provide?",0,https://www.onetonline.org/find/result?s=Extent+of+Feedback+From+Doing+Job+Itself
Doing Job Provides Chances for Feedback,O*NET,Just doing the job provides many chances for you to figure out how well you are doing.,0,https://www.onetonline.org/find/result?s=Doing+Job+Provides+Chances+for+Feedback
"After Finishing Job, Know Own Performance",O*NET,"After you finish a job, you know whether you performed well.",0,https://www.onetonline.org/find/result?s=After+Finishing+Job%2C+Know+Own+Performance
Job Stability and Rotation,O*NET,The amount of stability in the job and the extent of job rotation,0,https://www.onetonline.org/find/result?s=Job+Stability+and+Rotation
Number of Supervisors in Past Year,O*NET,How many different supervisors have you had in the past year?,0,https://www.onetonline.org/find/result?s=Number+of+Supervisors+in+Past+Year
Number of Work Teams in Past Year,O*NET,Approximately how many different work teams have you belonged to during the past year?,0,https://www.onetonline.org/find/result?s=Number+of+Work+Teams+in+Past+Year
Number of Work Group Reorganizations in Past Year,O*NET,"In the past year, how many times has your primary work group gone through some kind of reorganization?",0,https://www.onetonline.org/find/result?s=Number+of+Work+Group+Reorganizations+in+Past+Year
Number of Times Nature of Job Changed,O*NET,"In the past year, how many times has the nature of your job duties changed dramatically?",0,https://www.onetonline.org/find/result?s=Number+of+Times+Nature+of+Job+Changed
Job Rotation Practices,O*NET,Which statement best describes the job rotation practices in your job and your work group?,0,https://www.onetonline.org/find/result?s=Job+Rotation+Practices
Human Resources Systems and Practices,O*NET,Organizational practices and policies designed to ensure that an organization has employees who are capable of meeting its goals,0,https://www.onetonline.org/find/result?s=Human+Resources+Systems+and+Practices
Recruitment and Selection,O*NET,"Organizational practices, decisions, and processes that affect (a) the capability of an organization to make hiring, promotion, and other personnel decisions, and (b) the number or types of individuals who are willing to apply for or accept a given vacancy",0,https://www.onetonline.org/find/result?s=Recruitment+and+Selection
Recruitment Operations,O*NET,"Activities involved in implementing recruitment plans (e.g., selecting sources, realistic job preview)",0,https://www.onetonline.org/find/result?s=Recruitment+Operations
Sources of People for Current Job,O*NET,Which of the sources listed below are used to recruit people for your current job?,0,https://www.onetonline.org/find/result?s=Sources+of+People+for+Current+Job
Selection Assessment Methods Used,O*NET,The methods used for selection or promotion of employees,0,https://www.onetonline.org/find/result?s=Selection+Assessment+Methods+Used
Assessment Methods Used to Select for Job,O*NET,Which of the following assessment methods are used to select people for your current job?,0,https://www.onetonline.org/find/result?s=Assessment+Methods+Used+to+Select+for+Job
Training and Development,O*NET,"The systematic acquisition of attitudes, concepts, knowledge, roles, or skills that result in improved performance at work",0,https://www.onetonline.org/find/result?s=Training+and+Development
Training Methods,O*NET,The methods used in training programs,0,https://www.onetonline.org/find/result?s=Training+Methods
Training Methods Used in Company,O*NET,Which of the following training methods have been used in company training courses you have attended in the last two years?,0,https://www.onetonline.org/find/result?s=Training+Methods+Used+in+Company
Training Topics and Content,O*NET,What trainers intend to teach trainees through training programs,0,https://www.onetonline.org/find/result?s=Training+Topics+and+Content
Areas of Recent Formal Training,O*NET,In which of the following content areas have you received formal training in the last two years?,0,https://www.onetonline.org/find/result?s=Areas+of+Recent+Formal+Training
Extent and Support of Training Activities,O*NET,The extent to which an organization makes training available to its employees and provides financial support for training activities,0,https://www.onetonline.org/find/result?s=Extent+and+Support+of+Training+Activities
Recent Technical Skill Training,O*NET,"In the last two years, how often have you attended company sponsored job-related technical training (i.e., technical skill training)?",0,https://www.onetonline.org/find/result?s=Recent+Technical+Skill+Training
Reward System,O*NET,Monetary compensation and monetary and non-monetary benefits organizations provide to their employees,0,https://www.onetonline.org/find/result?s=Reward+System
Basis of Compensation,O*NET,"The extent to which organizations reward individuals based on: (a) their knowledge, skills, and performance, (b) seniority, (c) team performance, (d) organizational performance, and (e) job attributes",0,https://www.onetonline.org/find/result?s=Basis+of+Compensation
Compensation Package Components,O*NET,"Which of the following is part of your compensation package (i.e., pay)?",0,https://www.onetonline.org/find/result?s=Compensation+Package+Components
Benefits,O*NET,"The extent to which employees' compensation includes benefits such as pensions, insurance, paid leave, awards and bonuses, pay for time not worked, etc.",0,https://www.onetonline.org/find/result?s=Benefits
Benefit Components,O*NET,Which of the following is part of your benefits?,0,https://www.onetonline.org/find/result?s=Benefit+Components
Social Processes,O*NET,"A functional subsystem of organization structure subsuming processes linking people (employees) to their work and to each other and includes elements such as values, goals, leadership, and roles",0,https://www.onetonline.org/find/result?s=Social+Processes
Goals,O*NET,Individual goal setting.,0,https://www.onetonline.org/find/result?s=Goals
Individual Goal Characteristics,O*NET,"The extent to which an individual's goal is made explicit, and the probability that an individual can attain the goal",0,https://www.onetonline.org/find/result?s=Individual+Goal+Characteristics
Achieve Most Important Individual Goal,O*NET,"Realistically, the probability that you will achieve your most important individual work goal this year is:",0,https://www.onetonline.org/find/result?s=Achieve+Most+Important+Individual+Goal
How Many Quantitative Individual Goals,O*NET,"How many of your individual work goals are quantitative (e.g., selling $100,000 worth of merchandise as opposed to selling as much merchandise as possible).",0,https://www.onetonline.org/find/result?s=How+Many+Quantitative+Individual+Goals
Goal Feedback,O*NET,The extent to which an individual is given periodic feedback regarding his or her progress against a goal,0,https://www.onetonline.org/find/result?s=Goal+Feedback
How Many Specific Individual Goals,O*NET,"How many of your individual work goals are specific -- that is, you will know exactly when you have achieved them?",0,https://www.onetonline.org/find/result?s=How+Many+Specific+Individual+Goals
When Get Information on Individual Goals,O*NET,"How often do you get information regarding how close you are to achieving your most important individual work goal (for example, an interim financial report or data on number of units sold)?",0,https://www.onetonline.org/find/result?s=When+Get+Information+on+Individual+Goals
